Log_Return,Date
-0.0018671480501217,2000-01-04
-0.0225164976805962,2000-01-05
0.0012056873972571,2000-01-06
0.0188246702615762,2000-01-07
-0.0048017076409177,2000-01-10
-0.0001917776848341,2000-01-11
-0.0101930559634727,2000-01-12
-0.0616301174410664,2000-01-13
0.0121722245156967,2000-01-14
-0.0025479954355225,2000-01-17
0.0110515459047276,2000-01-18
-0.0144683909223413,2000-01-19
-0.0312940868903826,2000-01-20
0.0022776347152748,2000-01-21
0.0259305758935517,2000-01-24
0.0011390207028889,2000-01-25
-0.0008587150711913,2000-01-26
0.0843011972264276,2000-01-27
-0.0129832901549347,2000-01-28
0.0297437992146278,2000-01-31
-0.0182827763222014,2000-02-01
-0.0178972053884094,2000-02-02
-0.0168989683773254,2000-02-03
0.0350028429352129,2000-02-04
-0.0411078528245235,2000-02-07
-0.0020026691026581,2000-02-08
0.000806030395973,2000-02-09
0.0202847790242753,2000-02-10
0.0086358193268415,2000-02-11
0.0114188200142621,2000-02-14
0.0159233834212352,2000-02-15
-0.0047290512416623,2000-02-16
0.0013391068409434,2000-02-17
-0.0194783501487518,2000-02-18
-0.0097456752856066,2000-02-21
0.0162665514615132,2000-02-22
-0.0004582218561418,2000-02-23
-0.0012606177510362,2000-02-24
0.0037104806982382,2000-02-25
0.0033657071449052,2000-02-28
-0.0062940430930149,2000-02-29
0.0032285050421918,2000-03-01
0.0036413148325024,2000-03-02
-0.0637821593903249,2000-03-03
0.0001409012348569,2000-03-06
-0.00887673900577,2000-03-07
0.0081492963485367,2000-03-08
-0.0100130267765087,2000-03-09
0.0126565543506716,2000-03-10
-0.0007918810264934,2000-03-13
0.0080691522603538,2000-03-14
-0.0131894286396686,2000-03-15
0.0126565543506716,2000-03-16
-0.018939629486706,2000-03-17
-0.0203094295465751,2000-03-20
-0.0115920524898782,2000-03-21
-0.0236147427867228,2000-03-22
-0.0208794161296631,2000-03-23
0.052276134420211,2000-03-24
0.0006729540832489,2000-03-27
-0.0240996498609161,2000-03-28
0.0016063504446452,2000-03-29
0.0509022427137489,2000-03-30
